排名,作者,作者号,分值
1,顾漫,3243,10.0000
2,明晓溪,32,9.6473
3,天籁纸鸢,41522,9.4057
4,花舞陌轩,23797,8.4483
5,墨荆,313204,8.3616
6,纳兰澈雪,19494,8.1370
7,神月离人,85370,7.9828
8,叶紫,96761,7.9637
9,芙娅,76273,7.9195
10,月落星沉,403454,7.8713
11,咎井寒,204836,7.8200
12,花暮年,99137,7.7832
13,阿白白,5595,7.7502
14,蝶之灵,137643,7.7280
15,变化系的月亮,86484,7.7017
